date,Pigeon Island,Royal Botanical Gardens,Hanthana Mountain Range,Weligama Surf Break,Ravana Falls,Adisham Bungalow,Yala National Park,Minneriya National Park,Nilaveli Beach,Temple of the Tooth,Galle Fort,Mirissa Whale Watching,Hiriwadunna Village Trek,Diyaluma Falls,Pidurangala Rock,Moon Plains,Wilpattu National Park,Sembuwatta Lake,Delft Island,Madol Doova,Ritigala Forest Monastery,Koggala Lake Safari,Bahirawakanda Buddha,Casuarina Beach,Strawberry Farm Visit,Yapahuwa Rock Fortress,Jaffna Fort,Bambarakanda Falls,Kelaniya Raja Maha Vihara,Unawatuna Jungle Beach,Nallur Kandaswamy Kovil,Pasikudah Beach,Jaffna Public Library,Gregory Lake,Galle Face Green,Sinharaja Forest Reserve,Hikkaduwa Coral Reef,Parakrama Samudra,Dambulla Cave Temple,Muthurajawela Wetland,Rose Quartz Mountain,Nine Arches Bridge,Pedro Tea Estate,Ambuluwawa Tower,Embekke Devalaya,St. Clair's Falls,Gangaramaya Temple,Riverston Gap,Elephant Rock,Hakgala Botanical Garden,Mihintale,Coconut Tree Hill,Nagadeepa Vihara,Victoria Park,Kumana Bird Sanctuary,Lipton's Seat,Lotus Tower,Ella Rock Hike,Trincomalee Harbour,Point Pedro,Kandy Lake Stroll,Horton Plains,Sea Turtle Hatchery,Anuradhapura Sacred City,Old Dutch Hospital,Japanese Peace Pagoda,Little Adam's Peak,Arugam Bay,Udawalawe National Park,Independence Square,Koneswaram Temple,Ceylon Tea Museum,Sigiriya Lion Rock,Kitulgala Rafting,Mount Lavinia Beach,Avukana Buddha Statue,Marble Beach,Polonnaruwa Ruins,Udawattekele Sanctuary,Negombo Fish Market
2021-10-31,0,0,0,0,0,0,33,20,26,0,23,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,54,0,0,0,0,0
2021-11-07,36,0,0,0,0,0,38,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,6,0,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-14,0,0,0,0,0,23,23,0,32,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-21,0,0,0,0,0,0,27,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0,0,0,0,5,0,0,0,0,0,0,62,0,0,0,0,0
2021-11-28,43,0,0,0,0,0,25,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,7,0,0,7,0,15,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0
2021-12-05,0,0,0,0,0,0,33,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,5,0,0,0,0,15,0,0,0,0,0,5,0,3,0,0,0,0,0,0,87,0,0,0
2021-12-12,38,0,0,0,0,25,39,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,5,0,0,9,0,24,0,0,0,0,0,11,0,0,0,0,0,0,60,0,0,0,0,0
2021-12-19,50,0,0,0,0,24,45,0,0,24,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,9,0,0,8,0,18,0,0,0,0,0,11,0,0,0,0,0,0,96,0,0,0,0,0
2021-12-26,53,0,0,0,0,21,51,0,38,0,48,10,0,0,0,70,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,11,0,0,0,0,19,0,0,0,0,0,11,0,4,0,0,0,0,89,0,0,0,0,0
2022-01-02,0,0,0,0,0,0,59,0,28,38,47,7,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,5,0,0,10,0,27,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-09,42,0,0,0,0,26,49,0,37,20,42,9,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,27,0,0,0,0,0,8,0,0,7,0,32,0,0,0,0,0,12,4,0,54,0,0,0,92,0,84,0,0,0
2022-01-16,0,0,0,0,0,21,51,0,0,32,50,0,0,0,0,82,0,62,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,33,0,0,0,0,0,0,17,0,0,0,0,0,5,0,0,7,0,29,0,0,0,0,0,12,3,0,0,0,0,0,66,0,0,0,0,0
2022-01-23,0,0,0,0,0,19,34,0,28,20,33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,4,0,15,0,0,0,0,0,8,3,0,0,0,0,0,63,0,0,0,0,0
2022-01-30,55,0,0,0,0,0,46,0,28,36,41,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,24,0,0,0,0,0,5,0,0,9,0,25,0,0,0,0,0,9,3,4,0,0,0,0,57,0,76,0,0,0
